date,temperature,precipitation
2018-04-26,15.3,0.0
2018-04-27,15.8,0.0
2018-04-28,17.9,0.0
2018-04-29,14.0,0.0
2018-04-30,13.9,0.0
2018-05-01,14.7,0.0
2018-05-02,13.9,0.0
2018-05-03,16.1,0.0
2018-05-04,17.6,0.0
2018-05-05,17.1,0.0
2018-05-06,14.7,0.0
2018-05-07,14.8,0.0
2018-05-08,14.4,0.0
2018-05-09,13.7,0.0
2018-05-10,13.2,0.0
2018-05-11,16.6,0.0
2018-05-12,17.5,0.0
2018-05-13,12.7,0.9
2018-05-14,12.6,0.0
2018-05-15,13.2,0.0
2018-05-16,14.6,0.2
2018-05-17,13.0,0.0
2018-05-18,13.1,0.0
2018-05-19,16.0,0.0
2018-05-20,16.5,0.0
2018-05-21,13.9,0.0
2018-05-22,15.1,0.0
2018-05-23,16.2,0.0
2018-05-24,18.1,0.0
2018-05-25,17.1,0.0
2018-05-26,10.9,0.1
2018-05-27,12.2,0.0
2018-05-28,12.6,1.3
2018-05-29,11.9,27.5
2018-05-30,10.2,0.9
2018-05-31,7.8,3.7
2018-06-01,7.8,0.0
2018-06-02,9.1,0.0
2018-06-03,7.4,0.7
2018-06-04,8.1,0.0
2018-06-05,10.5,0.0
2018-06-06,11.7,0.0
2018-06-07,13.0,0.0
2018-06-08,14.1,0.0
2018-06-09,11.8,11.9
2018-06-10,8.4,12.3
2018-06-11,5.1,25.6
2018-06-12,4.6,0.0
2018-06-13,6.2,0.0
2018-06-14,9.4,0.0
2018-06-15,11.6,0.0
2018-06-16,13.8,0.0
2018-06-17,16.7,0.0
2018-06-18,18.3,0.0
2018-06-19,12.0,0.0
2018-06-20,11.2,0.0
2018-06-21,11.0,0.0
2018-06-22,10.5,0.0
2018-06-23,8.8,0.0
2018-06-24,9.6,2.4
2018-06-25,9.9,0.1
2018-06-26,10.4,0.0
2018-06-27,13.5,0.0
2018-06-28,12.1,0.2
2018-06-29,11.0,0.2
2018-06-30,9.2,0.0
2018-07-01,8.0,5.3
2018-07-02,10.8,0.1
2018-07-03,11.1,0.0
2018-07-04,10.3,15.0
2018-07-05,9.6,16.0
2018-07-06,9.7,10.8
2018-07-07,10.8,0.0
2018-07-08,13.4,0.0
2018-07-09,14.5,0.0
2018-07-10,8.9,0.0
2018-07-11,9.0,0.2
2018-07-12,11.4,0.0
2018-07-13,15.5,0.0
2018-07-14,12.7,0.1
2018-07-15,10.1,2.5
2018-07-16,10.6,0.8
2018-07-17,8.1,3.2
2018-07-18,6.2,2.9
2018-07-19,5.0,0.0
2018-07-20,6.2,0.0
2018-07-21,9.5,0.0
2018-07-22,6.8,0.0
2018-07-23,8.6,0.0
2018-07-24,10.9,0.0
2018-07-25,10.6,0.0
2018-07-26,10.6,0.5
2018-07-27,6.4,7.1
2018-07-28,7.4,0.0
2018-07-29,8.0,0.0
2018-07-30,9.2,0.0
2018-07-31,10.2,0.0
2018-08-01,9.9,0.0
2018-08-02,7.7,0.4
2018-08-03,8.1,0.2
2018-08-04,10.5,0.0
2018-08-05,11.9,0.0
2018-08-06,11.3,0.2
2018-08-07,8.8,15.5
2018-08-08,11.2,0.0
2018-08-09,15.9,0.0
2018-08-10,15.2,0.0
2018-08-11,12.9,0.0
2018-08-12,10.9,0.1
2018-08-13,10.1,2.1
2018-08-14,11.9,0.0
2018-08-15,15.8,0.0
2018-08-16,14.1,0.0
2018-08-17,11.5,0.0
2018-08-18,9.9,1.8
2018-08-19,9.8,0.0
2018-08-20,12.1,0.0
2018-08-21,12.8,0.0
2018-08-22,10.7,0.0
2018-08-23,6.6,14.3
2018-08-24,6.6,0.0
2018-08-25,11.7,0.0
2018-08-26,17.7,0.0
2018-08-27,12.8,0.0
2018-08-28,11.7,0.2
2018-08-29,11.3,0.0
2018-08-30,11.9,0.0
2018-08-31,10.1,3.5
2018-09-01,10.8,0.3
2018-09-02,13.2,0.0
2018-09-03,17.4,0.0
2018-09-04,19.1,0.0
2018-09-05,11.3,0.0
2018-09-06,12.1,1.0
2018-09-07,14.0,0.0
2018-09-08,14.4,0.0
2018-09-09,15.9,0.0
2018-09-10,17.8,0.0
2018-09-11,14.9,0.0
2018-09-12,13.2,0.0
2018-09-13,13.3,0.0
2018-09-14,11.6,0.0
2018-09-15,10.9,1.0
2018-09-16,11.9,0.0
2018-09-17,12.6,0.0
2018-09-18,11.4,33.6
2018-09-19,10.1,0.0
2018-09-20,13.7,0.0
2018-09-21,17.1,0.0
2018-09-22,13.0,0.1
2018-09-23,12.7,3.7
2018-09-24,12.6,0.3
2018-09-25,14.1,0.0
2018-09-26,14.9,0.0
2018-09-27,13.5,0.8
